bike_name,price,city,kms_driven,owner,age,power,brand
Bajaj FZ S,626365,Hyderabad,67493,Second Owner,9,650,Bajaj
Suzuki Other Model,157613,Lucknow,54756,Second Owner,15,180,Suzuki
KTM Classic 350,88032,Ahmedabad,24876,Third Owner,19,110,KTM
Yamaha Access 125,147102,Jaipur,60950,Third Owner,1,160,Yamaha
Hero Other Model,332944,Delhi,93937,Fourth Owner,1,350,Hero
KTM Shine 125cc,181662,Kolkata,50807,Second Owner,11,200,KTM
Royal Enfield Access 125,487092,Mumbai,52048,Third Owner,4,500,Royal Enfield
TVS Access 125,176099,Bangalore,46931,Second Owner,11,200,TVS
TVS Classic 350,207264,Lucknow,40504,First Owner,6,220,TVS
TVS Classic 350,143619,Jaipur,3648,Third Owner,13,160,TVS
Yamaha Splendor Plus,163447,Lucknow,29165,Second Owner,11,180,Yamaha
Honda FZ S,321973,Bangalore,96370,First Owner,11,350,Honda
Bajaj Pulsar 150cc,175530,Mumbai,81866,Third Owner,8,200,Bajaj
KTM Duke 200,187799,Bangalore,49076,Second Owner,2,200,KTM
Hero Access 125,84169,Ahmedabad,99465,Fourth Owner,8,110,Hero
Yamaha Apache RTR 160,130456,Ahmedabad,95804,Fourth Owner,15,160,Yamaha
Other Pulsar 150cc,177905,Jaipur,40292,Fourth Owner,18,200,Other
Bajaj Splendor Plus,147722,Mumbai,51904,Fourth Owner,17,180,Bajaj
Bajaj FZ S,87637,Lucknow,55112,Third Owner,8,110,Bajaj
TVS Apache RTR 160,148302,Delhi,10580,First Owner,5,160,TVS
TVS Other Model,207195,Ahmedabad,22590,Second Owner,5,220,TVS
TVS Pulsar 150cc,623526,Kolkata,88116,Fourth Owner,7,650,TVS
KTM Duke 200,93154,Delhi,96774,Fourth Owner,16,125,KTM
KTM Classic 350,93510,Kolkata,92235,Second Owner,14,125,KTM
Bajaj Duke 200,106920,Chennai,29776,Second Owner,9,125,Bajaj
Suzuki Shine 125cc,126779,Bangalore,48127,Fourth Owner,15,150,Suzuki
Hero Access 125,175171,Bangalore,51872,Second Owner,16,200,Hero
TVS Splendor Plus,81364,Delhi,45250,Fourth Owner,16,110,TVS
KTM Splendor Plus,336321,Mumbai,30026,Second Owner,5,350,KTM
TVS Duke 200,191675,Mumbai,16179,Second Owner,1,200,TVS
Suzuki Duke 200,623070,Chennai,54250,Third Owner,12,650,Suzuki
Bajaj Shine 125cc,189762,Chennai,31687,Third Owner,4,200,Bajaj
KTM Apache RTR 160,77911,Delhi,55221,Third Owner,16,100,KTM
TVS Splendor Plus,470029,Hyderabad,76040,First Owner,10,500,TVS
Royal Enfield Apache RTR 160,154982,Chennai,35709,Third Owner,14,180,Royal Enfield
TVS Classic 350,627064,Delhi,81234,First Owner,2,650,TVS
Yamaha Access 125,101323,Delhi,93787,Second Owner,4,125,Yamaha
Royal Enfield Other Model,143678,Bangalore,59987,Second Owner,6,160,Royal Enfield
Suzuki Pulsar 150cc,87838,Lucknow,26139,Third Owner,10,100,Suzuki
Bajaj Pulsar 150cc,151634,Pune,12198,First Owner,4,160,Bajaj
Honda Other Model,317129,Bangalore,78474,Third Owner,15,350,Honda
Honda Apache RTR 160,490909,Chennai,24590,Fourth Owner,7,500,Honda
Suzuki Pulsar 150cc,78059,Mumbai,18863,Third Owner,15,100,Suzuki
Yamaha Pulsar 150cc,100953,Ahmedabad,35498,Second Owner,14,125,Yamaha
Royal Enfield Duke 200,637028,Hyderabad,10506,First Owner,6,650,Royal Enfield
TVS Duke 200,140211,Kolkata,19864,First Owner,17,160,TVS
Suzuki Shine 125cc,467836,Delhi,84421,First Owner,19,500,Suzuki
Royal Enfield Access 125,321502,Bangalore,87973,First Owner,11,350,Royal Enfield
Bajaj Shine 125cc,122688,Bangalore,5648,Third Owner,6,125,Bajaj
Honda Duke 200,108802,Lucknow,62827,Fourth Owner,2,125,Honda
Royal Enfield Shine 125cc,138753,Jaipur,31575,Third Owner,14,160,Royal Enfield
Honda Apache RTR 160,92668,Bangalore,15764,First Owner,7,100,Honda
Suzuki Pulsar 150cc,106527,Ahmedabad,51820,Second Owner,10,125,Suzuki
Suzuki FZ S,159470,Delhi,48564,Second Owner,8,180,Suzuki
Yamaha Duke 200,68919,Delhi,49850,First Owner,19,100,Yamaha
Other Duke 200,190964,Jaipur,36336,Fourth Owner,5,200,Other
Royal Enfield Shine 125cc,467217,Pune,95818,Fourth Owner,10,500,Royal Enfield
Honda Splendor Plus,75986,Hyderabad,57794,Third Owner,15,100,Honda
Bajaj Classic 350,338359,Chennai,35788,Fourth Owner,3,350,Bajaj
Hero Splendor Plus,126011,Pune,64805,Third Owner,14,150,Hero
Royal Enfield Shine 125cc,67396,Delhi,95882,Fourth Owner,15,100,Royal Enfield
Bajaj Shine 125cc,319471,Ahmedabad,38580,First Owner,18,350,Bajaj
Honda Pulsar 150cc,103433,Bangalore,5552,First Owner,18,125,Honda
Yamaha Access 125,213974,Bangalore,9876,First Owner,1,220,Yamaha
TVS Other Model,152594,Delhi,89457,Fourth Owner,9,180,TVS
Royal Enfield Access 125,145167,Lucknow,49769,First Owner,3,160,Royal Enfield
Royal Enfield FZ S,485608,Ahmedabad,1060,Fourth Owner,18,500,Royal Enfield
Other Access 125,82728,Mumbai,63176,First Owner,8,100,Other
Bajaj Splendor Plus,164521,Pune,9527,Second Owner,17,180,Bajaj
Royal Enfield Other Model,109396,Jaipur,76314,Second Owner,4,125,Royal Enfield
TVS Access 125,207831,Mumbai,37006,Third Owner,2,220,TVS
Other Pulsar 150cc,116825,Kolkata,94954,Third Owner,18,150,Other
KTM Duke 200,90630,Chennai,6739,Fourth Owner,10,100,KTM
Royal Enfield Access 125,131878,Chennai,95400,First Owner,2,150,Royal Enfield
Other Other Model,613002,Hyderabad,85661,First Owner,16,650,Other
KTM Access 125,185174,Hyderabad,44898,Second Owner,3,200,KTM
TVS Pulsar 150cc,328932,Ahmedabad,52561,Third Owner,8,350,TVS
Bajaj Access 125,206881,Ahmedabad,12148,First Owner,13,220,Bajaj
Other Apache RTR 160,92029,Pune,18385,First Owner,2,100,Other
TVS Access 125,335359,Bangalore,20293,Second Owner,8,350,TVS
Other Pulsar 150cc,80491,Pune,54668,Fourth Owner,8,100,Other
Hero Apache RTR 160,468500,Hyderabad,79374,Fourth Owner,15,500,Hero
TVS Classic 350,614424,Pune,68366,First Owner,17,650,TVS
TVS FZ S,136223,Hyderabad,40656,First Owner,13,160,TVS
TVS Other Model,209544,Delhi,20941,First Owner,11,220,TVS
Other Pulsar 150cc,77048,Kolkata,2899,First Owner,18,100,Other
Bajaj FZ S,76186,Lucknow,98853,Third Owner,16,110,Bajaj
KTM Shine 125cc,147333,Pune,83223,Third Owner,12,180,KTM
TVS Apache RTR 160,152560,Kolkata,96606,First Owner,7,180,TVS
TVS Pulsar 150cc,342274,Delhi,3585,Third Owner,9,350,TVS
KTM Duke 200,327737,Mumbai,29752,Second Owner,13,350,KTM
Bajaj Duke 200,189814,Delhi,83895,Third Owner,18,220,Bajaj
Other Access 125,198765,Hyderabad,51549,First Owner,7,220,Other
Other Apache RTR 160,200550,Hyderabad,72501,Fourth Owner,8,220,Other
Bajaj Pulsar 150cc,492988,Jaipur,22751,Second Owner,6,500,Bajaj
TVS Other Model,148698,Jaipur,72046,Fourth Owner,14,180,TVS
Other Shine 125cc,87853,Chennai,57996,Third Owner,10,110,Other
KTM Access 125,148635,Jaipur,20776,First Owner,9,160,KTM
KTM Other Model,95691,Bangalore,3788,Third Owner,16,110,KTM
Suzuki Splendor Plus,129670,Hyderabad,35076,Second Owner,13,150,Suzuki
Other Shine 125cc,73253,Lucknow,65305,Second Owner,12,100,Other
Bajaj FZ S,632686,Bangalore,22226,Third Owner,11,650,Bajaj
Bajaj FZ S,183026,Mumbai,38079,Fourth Owner,12,200,Bajaj
Other Duke 200,78846,Delhi,51921,Fourth Owner,15,100,Other
Bajaj Access 125,614039,Bangalore,91786,First Owner,16,650,Bajaj
Honda Duke 200,122143,Bangalore,12625,Third Owner,5,125,Honda
Other FZ S,66225,Hyderabad,59193,First Owner,19,100,Other
Honda Other Model,336433,Ahmedabad,34962,Third Owner,2,350,Honda
Bajaj Classic 350,79894,Hyderabad,33389,Second Owner,11,100,Bajaj
Honda Duke 200,497269,Lucknow,7565,Fourth Owner,4,500,Honda
Suzuki Pulsar 150cc,198825,Lucknow,54197,Fourth Owner,15,220,Suzuki
Hero Splendor Plus,201214,Kolkata,5995,Fourth Owner,14,220,Hero
Yamaha Shine 125cc,641389,Hyderabad,30774,Third Owner,1,650,Yamaha
Bajaj Duke 200,140130,Delhi,9406,Fourth Owner,14,160,Bajaj
Suzuki Access 125,88820,Jaipur,28545,Third Owner,18,110,Suzuki
Honda Apache RTR 160,482014,Ahmedabad,31667,First Owner,13,500,Honda
Royal Enfield Apache RTR 160,199136,Ahmedabad,66304,Fourth Owner,8,220,Royal Enfield
Other Access 125,492428,Mumbai,1888,Fourth Owner,5,500,Other
TVS Splendor Plus,166647,Ahmedabad,38518,Second Owner,8,180,TVS
KTM Classic 350,149950,Ahmedabad,86550,Third Owner,10,180,KTM
Royal Enfield Shine 125cc,138014,Jaipur,53644,Third Owner,15,160,Royal Enfield
KTM Pulsar 150cc,84339,Pune,61927,Third Owner,9,110,KTM
Royal Enfield Pulsar 150cc,130320,Bangalore,83892,First Owner,5,150,Royal Enfield
Hero FZ S,196857,Pune,67823,Fourth Owner,13,220,Hero
Royal Enfield Other Model,140281,Jaipur,84676,Second Owner,4,160,Royal Enfield
Other Pulsar 150cc,177618,Pune,74957,First Owner,12,200,Other
Other Duke 200,638493,Chennai,31265,Fourth Owner,4,650,Other
Honda Duke 200,146702,Hyderabad,4752,Third Owner,9,160,Honda
Bajaj Pulsar 150cc,73303,Ahmedabad,63694,Fourth Owner,18,100,Bajaj
Bajaj Classic 350,154261,Delhi,79043,Third Owner,8,180,Bajaj
Royal Enfield Pulsar 150cc,106144,Kolkata,23554,Fourth Owner,10,125,Royal Enfield
Yamaha Other Model,315984,Pune,82823,First Owner,18,350,Yamaha
TVS Access 125,332955,Mumbai,37505,First Owner,12,350,TVS
Royal Enfield Shine 125cc,75444,Lucknow,38465,Second Owner,14,100,Royal Enfield
Other Duke 200,104735,Hyderabad,28833,Fourth Owner,16,125,Other
Royal Enfield Shine 125cc,109578,Bangalore,87984,Fourth Owner,19,150,Royal Enfield
KTM Classic 350,169365,Ahmedabad,92171,Fourth Owner,14,200,KTM
Honda Apache RTR 160,203771,Jaipur,24146,Second Owner,12,220,Honda
Hero Splendor Plus,111331,Ahmedabad,55477,Third Owner,6,125,Hero
Royal Enfield Classic 350,148117,Mumbai,27534,Third Owner,8,160,Royal Enfield
Bajaj Pulsar 150cc,137780,Kolkata,67062,First Owner,2,150,Bajaj
Royal Enfield Pulsar 150cc,157539,Jaipur,47718,Fourth Owner,15,180,Royal Enfield
KTM Access 125,94043,Jaipur,23903,Second Owner,11,110,KTM
KTM Shine 125cc,85746,Kolkata,60881,First Owner,17,110,KTM
TVS Pulsar 150cc,336304,Jaipur,69282,Fourth Owner,1,350,TVS
Suzuki Duke 200,169770,Delhi,19723,Third Owner,3,180,Suzuki
Bajaj Shine 125cc,101964,Chennai,75378,First Owner,10,125,Bajaj
KTM Other Model,163746,Bangalore,30947,Second Owner,8,180,KTM
Royal Enfield Other Model,197693,Mumbai,85075,Second Owner,3,220,Royal Enfield
Hero Shine 125cc,90621,Lucknow,30654,First Owner,13,110,Hero
Bajaj Apache RTR 160,88585,Chennai,27722,Second Owner,4,100,Bajaj
Royal Enfield Pulsar 150cc,193147,Pune,68583,Third Owner,10,220,Royal Enfield
Bajaj Classic 350,102938,Hyderabad,4068,First Owner,2,110,Bajaj
TVS Splendor Plus,92299,Ahmedabad,27677,Third Owner,16,110,TVS
Yamaha Duke 200,157901,Hyderabad,90149,Fourth Owner,9,180,Yamaha
Honda Shine 125cc,332295,Bangalore,47251,Third Owner,13,350,Honda
TVS Classic 350,96546,Delhi,46479,Third Owner,9,110,TVS
KTM Duke 200,157997,Jaipur,31354,Fourth Owner,17,180,KTM
Hero Duke 200,639626,Lucknow,37798,Third Owner,6,650,Hero
Yamaha Apache RTR 160,184923,Mumbai,62728,First Owner,7,200,Yamaha
TVS Shine 125cc,162709,Chennai,78408,Fourth Owner,17,200,TVS
Suzuki Apache RTR 160,332362,Lucknow,62678,Third Owner,3,350,Suzuki
KTM FZ S,60877,Bangalore,99343,Fourth Owner,15,100,KTM
Bajaj FZ S,171523,Lucknow,75734,Second Owner,16,200,Bajaj
Suzuki Classic 350,628554,Kolkata,41905,Fourth Owner,10,650,Suzuki
TVS Shine 125cc,179035,Lucknow,36582,Second Owner,12,200,TVS
TVS Access 125,148700,Mumbai,32612,Second Owner,2,160,TVS
Hero Apache RTR 160,138266,Hyderabad,44105,Third Owner,16,160,Hero
TVS Other Model,332180,Lucknow,58196,First Owner,6,350,TVS
Other Access 125,188119,Pune,62268,Fourth Owner,3,200,Other
TVS Classic 350,155081,Bangalore,57589,Third Owner,10,180,TVS
Bajaj Duke 200,151510,Jaipur,45350,Third Owner,17,180,Bajaj
TVS Classic 350,62673,Bangalore,88697,Fourth Owner,16,100,TVS
Honda Classic 350,104696,Kolkata,52336,Second Owner,14,125,Honda
Hero Apache RTR 160,96838,Ahmedabad,84734,First Owner,14,125,Hero
KTM FZ S,494092,Kolkata,23772,Second Owner,6,500,KTM
Other Shine 125cc,135121,Delhi,56659,Fourth Owner,4,150,Other
Hero Access 125,85726,Bangalore,62201,First Owner,12,110,Hero
Hero Pulsar 150cc,621328,Mumbai,56061,First Owner,15,650,Hero
Honda Classic 350,161275,Lucknow,48632,Second Owner,4,180,Honda
Royal Enfield FZ S,625561,Kolkata,42142,Third Owner,15,650,Royal Enfield
TVS Shine 125cc,124982,Mumbai,53522,Fourth Owner,14,150,TVS
KTM Splendor Plus,486267,Pune,59584,Third Owner,5,500,KTM
KTM FZ S,144314,Hyderabad,56399,Third Owner,4,160,KTM
TVS Apache RTR 160,484632,Hyderabad,19992,First Owner,16,500,TVS
Royal Enfield Classic 350,167017,Kolkata,58547,Third Owner,4,180,Royal Enfield
Royal Enfield Apache RTR 160,329327,Ahmedabad,65627,First Owner,9,350,Royal Enfield
Yamaha Duke 200,631741,Jaipur,97520,Fourth Owner,2,650,Yamaha
Royal Enfield Splendor Plus,475859,Chennai,91509,First Owner,6,500,Royal Enfield
Hero Other Model,162600,Mumbai,75331,Second Owner,4,180,Hero
Honda Shine 125cc,477461,Delhi,72879,Fourth Owner,10,500,Honda
Other Pulsar 150cc,481218,Lucknow,22184,Third Owner,19,500,Other
Bajaj Other Model,137343,Bangalore,50981,First Owner,17,160,Bajaj
KTM Classic 350,128223,Ahmedabad,27270,Third Owner,19,150,KTM
Suzuki Pulsar 150cc,192678,Lucknow,87122,Second Owner,8,220,Suzuki
Hero Duke 200,128851,Chennai,64066,Third Owner,12,150,Hero
Royal Enfield Splendor Plus,130588,Jaipur,74589,Fourth Owner,11,160,Royal Enfield
Suzuki Access 125,92806,Chennai,92897,Fourth Owner,15,125,Suzuki
Suzuki Apache RTR 160,101084,Bangalore,7071,First Owner,10,110,Suzuki
Honda Apache RTR 160,332910,Hyderabad,62202,Second Owner,1,350,Honda
TVS FZ S,77633,Ahmedabad,87919,Second Owner,4,100,TVS
Suzuki Access 125,336844,Delhi,22125,Third Owner,6,350,Suzuki
Other Other Model,137489,Lucknow,50032,First Owner,11,160,Other
Royal Enfield Other Model,77359,Kolkata,93660,Second Owner,17,110,Royal Enfield
KTM Shine 125cc,119017,Pune,6837,First Owner,9,125,KTM
TVS Duke 200,116283,Lucknow,86224,First Owner,19,150,TVS
Other FZ S,83098,Mumbai,98947,Third Owner,11,110,Other
TVS Pulsar 150cc,479855,Mumbai,67046,Fourth Owner,5,500,TVS
Honda Apache RTR 160,105814,Chennai,54770,Second Owner,12,125,Honda
Royal Enfield FZ S,335489,Jaipur,18057,First Owner,12,350,Royal Enfield
Yamaha Access 125,160237,Mumbai,51685,Fourth Owner,10,180,Yamaha
Suzuki FZ S,101319,Mumbai,27412,Fourth Owner,15,125,Suzuki
Hero Pulsar 150cc,141057,Delhi,49434,Fourth Owner,8,160,Hero
Yamaha Duke 200,186999,Mumbai,27579,First Owner,6,200,Yamaha
Yamaha Pulsar 150cc,136987,Bangalore,15710,First Owner,8,150,Yamaha
Royal Enfield Classic 350,135042,Jaipur,15900,Fourth Owner,19,160,Royal Enfield
Hero Other Model,188798,Delhi,34650,First Owner,5,200,Hero
Yamaha Splendor Plus,628510,Pune,41122,Third Owner,16,650,Yamaha
Suzuki Duke 200,145559,Jaipur,58545,Fourth Owner,4,160,Suzuki
Royal Enfield Access 125,144542,Chennai,52331,First Owner,4,160,Royal Enfield
TVS FZ S,132156,Delhi,19345,Second Owner,11,150,TVS
Royal Enfield Classic 350,96498,Mumbai,22272,Fourth Owner,11,110,Royal Enfield
TVS Duke 200,172917,Pune,17499,First Owner,3,180,TVS
KTM Shine 125cc,136841,Delhi,32743,Second Owner,7,150,KTM
Bajaj Shine 125cc,130796,Jaipur,30074,First Owner,11,150,Bajaj
Honda Splendor Plus,334693,Chennai,55947,Third Owner,1,350,Honda
KTM Pulsar 150cc,106913,Jaipur,45646,Fourth Owner,10,125,KTM
Bajaj Classic 350,101360,Lucknow,54438,Fourth Owner,12,125,Bajaj
Other Splendor Plus,98621,Jaipur,49646,Fourth Owner,5,110,Other
Royal Enfield Classic 350,189359,Ahmedabad,65977,First Owner,18,220,Royal Enfield
Royal Enfield Access 125,190618,Pune,27732,Second Owner,8,200,Royal Enfield
Yamaha Pulsar 150cc,635490,Jaipur,24130,Third Owner,14,650,Yamaha
Bajaj Pulsar 150cc,129673,Bangalore,76225,Third Owner,9,150,Bajaj
Royal Enfield Duke 200,178120,Jaipur,59427,Second Owner,6,200,Royal Enfield
Hero Splendor Plus,130086,Lucknow,81787,First Owner,14,160,Hero
Honda Classic 350,153890,Lucknow,57233,Second Owner,15,180,Honda
TVS Access 125,182990,Jaipur,14936,Fourth Owner,14,200,TVS
KTM FZ S,340601,Lucknow,10577,Second Owner,12,350,KTM
Honda Classic 350,103542,Mumbai,55959,Fourth Owner,13,125,Honda
Bajaj Classic 350,619782,Ahmedabad,64614,Second Owner,15,650,Bajaj
Bajaj FZ S,477580,Lucknow,84281,Fourth Owner,10,500,Bajaj
TVS Classic 350,210604,Delhi,15345,First Owner,5,220,TVS
KTM Classic 350,339998,Ahmedabad,3847,First Owner,9,350,KTM
Suzuki Splendor Plus,84513,Kolkata,74162,Fourth Owner,6,110,Suzuki
TVS Duke 200,142504,Bangalore,31539,Third Owner,2,150,TVS
Other Other Model,105197,Mumbai,13391,Fourth Owner,4,110,Other
KTM FZ S,177873,Chennai,94921,Second Owner,19,220,KTM
KTM Splendor Plus,480202,Kolkata,1266,Second Owner,17,500,KTM
Bajaj Shine 125cc,161567,Chennai,40355,Third Owner,10,180,Bajaj
TVS Shine 125cc,341438,Jaipur,35247,First Owner,5,350,TVS
Bajaj Apache RTR 160,482523,Pune,79408,Fourth Owner,5,500,Bajaj
Honda Classic 350,630252,Bangalore,42117,Second Owner,15,650,Honda
Royal Enfield Apache RTR 160,338170,Ahmedabad,49621,Fourth Owner,5,350,Royal Enfield
Honda Pulsar 150cc,631130,Hyderabad,73890,Second Owner,6,650,Honda
Hero Access 125,117380,Pune,27768,Third Owner,4,125,Hero
Suzuki Duke 200,631559,Lucknow,42604,Fourth Owner,6,650,Suzuki
TVS Apache RTR 160,58134,Ahmedabad,97704,Fourth Owner,19,100,TVS
Yamaha Splendor Plus,138876,Delhi,43745,First Owner,11,160,Yamaha
KTM FZ S,483835,Delhi,12906,Fourth Owner,10,500,KTM
Royal Enfield Access 125,94705,Delhi,35330,Second Owner,13,110,Royal Enfield
Other Shine 125cc,150743,Mumbai,65384,Second Owner,16,180,Other
Honda Other Model,169267,Chennai,43747,Third Owner,4,180,Honda
Yamaha Duke 200,122996,Ahmedabad,86235,Second Owner,13,150,Yamaha
Royal Enfield FZ S,131909,Delhi,41499,Second Owner,7,150,Royal Enfield
Royal Enfield Duke 200,619493,Kolkata,71918,First Owner,14,650,Royal Enfield
Honda Access 125,326292,Hyderabad,73084,Third Owner,13,350,Honda
KTM Apache RTR 160,476086,Ahmedabad,65147,Second Owner,11,500,KTM
Hero Other Model,84212,Hyderabad,79066,Fourth Owner,7,110,Hero
Suzuki Access 125,161649,Bangalore,13465,Second Owner,17,180,Suzuki
Hero FZ S,97765,Hyderabad,85585,First Owner,13,125,Hero
Suzuki Access 125,190536,Bangalore,36329,Third Owner,3,200,Suzuki
Honda Classic 350,113571,Mumbai,98694,Fourth Owner,18,150,Honda
Honda Pulsar 150cc,318032,Jaipur,54672,First Owner,19,350,Honda
KTM Duke 200,161016,Chennai,38421,Second Owner,7,180,KTM
Hero FZ S,98360,Kolkata,34121,Third Owner,16,125,Hero
KTM Apache RTR 160,78295,Kolkata,63946,Fourth Owner,4,100,KTM
Yamaha Shine 125cc,98054,Jaipur,95129,Third Owner,3,125,Yamaha
Yamaha Pulsar 150cc,101723,Chennai,49413,Second Owner,13,125,Yamaha
Bajaj FZ S,188688,Hyderabad,5599,Second Owner,10,200,Bajaj
Royal Enfield FZ S,138574,Pune,61690,Second Owner,7,160,Royal Enfield
TVS Classic 350,333092,Pune,90242,Second Owner,1,350,TVS
Yamaha Pulsar 150cc,633911,Chennai,53291,First Owner,5,650,Yamaha
Suzuki FZ S,73954,Hyderabad,76524,Second Owner,7,100,Suzuki
TVS Other Model,629478,Hyderabad,65853,Second Owner,4,650,TVS
Other Other Model,341670,Kolkata,7966,Second Owner,4,350,Other
KTM Access 125,329848,Hyderabad,34125,Second Owner,17,350,KTM
Other Other Model,95633,Hyderabad,30153,Fourth Owner,1,100,Other
Honda Splendor Plus,95495,Bangalore,25153,Second Owner,11,110,Honda
Hero Classic 350,148400,Pune,95780,Second Owner,8,180,Hero
Other Apache RTR 160,629451,Mumbai,96814,Third Owner,1,650,Other
Honda Apache RTR 160,189708,Lucknow,36012,Third Owner,6,200,Honda
TVS Other Model,74480,Pune,29731,Fourth Owner,19,100,TVS
Royal Enfield Other Model,642004,Jaipur,14934,Third Owner,3,650,Royal Enfield
KTM Shine 125cc,329852,Jaipur,39681,Fourth Owner,8,350,KTM
Royal Enfield FZ S,619460,Mumbai,68625,Fourth Owner,17,650,Royal Enfield
Honda Pulsar 150cc,177361,Lucknow,33874,First Owner,17,200,Honda
Other Classic 350,626577,Jaipur,74557,Fourth Owner,13,650,Other
KTM Splendor Plus,103344,Pune,32909,Second Owner,16,125,KTM
Other FZ S,119533,Jaipur,87868,Second Owner,13,150,Other
KTM Classic 350,66882,Mumbai,90989,Third Owner,11,100,KTM
Hero Access 125,464735,Delhi,79443,First Owner,19,500,Hero
Royal Enfield Pulsar 150cc,169266,Delhi,50168,Second Owner,5,180,Royal Enfield
KTM FZ S,88921,Delhi,13616,Fourth Owner,13,100,KTM
Royal Enfield Other Model,481872,Hyderabad,59169,Second Owner,8,500,Royal Enfield
KTM FZ S,482849,Ahmedabad,68074,First Owner,4,500,KTM
Other Other Model,78622,Delhi,64164,Third Owner,18,110,Other
Bajaj Splendor Plus,193514,Jaipur,97174,Second Owner,10,220,Bajaj
Hero Duke 200,339473,Delhi,28751,Second Owner,3,350,Hero
